bond,symmetries,orbital,E_dec,K,born_huang,maxdim,nc_score,note
"1,1",sen,mo,"-107,586406337474",42,13,120,"2,47250758408899",
"1,1",sen,opt,"-107,588537506179",23,17,120,"2,41262630127282",
"1,1",senquart,mo,"-107,633408711039",8,81,416,"0,50887944537685",
"1,1",senquart,opt,"-107,649124836894",4,23,416,"0,125914961322545",
"1,1",corepop,mo,"-107,623101772017",,>82,400,"0,436087227306364",
"1,1",corepop,opt,,,,,,
,sen,mo,,,,,,
,sen,opt,,,,,,
,senquart,mo,,,,,,
,senquart,opt,,,,,,
,corepop,mo,,,,,,
,corepop,opt,,,,,,
,sen,mo,,,,,,
,sen,opt,,,,,,
,senquart,mo,,,,,,
,senquart,opt,,,,,,
,corepop,mo,,,,,,
,corepop,opt,,,,,,
,sen,mo,,,,,,
,sen,opt,,,,,,
,senquart,mo,,,,,,
,senquart,opt,,,,,,
,corepop,mo,,,,,,
,corepop,opt,,,,,,
